XLabel.Wavenumber
YLabel.%Transmittance
FileType.%Transmittance
DisplayDirection.20300
PeakDirection.20311
650,420453.-42,828193
652,284122.-42,825399
654,147790.-42,574861
656,011459.-42,459051
657,875128.-42,546554
659,738797.-42,311444
661,602466.-42,149398
663,466135.-41,923040
665,329804.-41,569893
667,193473.-41,301706
669,057142.-41,308709
670,920811.-41,275006
672,784480.-41,196858
674,648149.-40,951503
676,511817.-40,608470
678,375486.-40,223460
680,239155.-40,179697
682,102824.-39,982846
683,966493.-39,781232
685,830162.-39,637030
687,693831.-39,526433
689,557500.-39,397657
691,421169.-39,140003
693,284838.-38,844547
695,148507.-38,764271
697,012176.-38,720163
698,875844.-38,578119
700,739513.-38,232935
702,603182.-37,956936
704,466851.-37,765760
706,330520.-37,608437
708,194189.-37,405182
710,057858.-37,230224
711,921527.-36,979396
713,785196.-36,781226
715,648865.-36,470350
717,512534.-36,236210
719,376203.-36,067859
721,239872.-35,873688
723,103540.-35,736980
724,967209.-35,716533
726,830878.-35,495139
728,694547.-35,167128
730,558216.-34,761432
732,421885.-34,514371
734,285554.-34,303995
736,149223.-34,157880
738,012892.-33,848933
739,876561.-33,617207
741,740230.-33,581882
743,603899.-33,570526
745,467567.-33,400811
747,331236.-33,246094
749,194905.-33,187847
751,058574.-33,113177
752,922243.-32,866322
754,785912.-32,701074
756,649581.-32,403005
758,513250.-32,099501
760,376919.-31,808586
762,240588.-31,301586
764,104257.-30,953986
765,967926.-30,855900
767,831594.-30,566454
769,695263.-30,203181
771,558932.-29,889932
773,422601.-29,585755
775,286270.-29,317115
777,149939.-29,108028
779,013608.-28,780073
780,877277.-28,567595
782,740946.-28,381741
784,604615.-28,109569
786,468284.-27,806404
788,331953.-27,651482
790,195621.-27,406633
792,059290.-27,066629
793,922959.-26,741566
795,786628.-26,545448
797,650297.-26,279025
799,513966.-26,073668
801,377635.-26,034143
803,241304.-26,023722
805,104973.-25,985615
806,968642.-26,128521
808,832311.-26,327020
810,695980.-26,354301
812,559649.-26,147785
814,423317.-25,977830
816,286986.-25,747134
818,150655.-25,309962
820,014324.-24,878155
821,877993.-24,591617
823,741662.-24,307033
825,605331.-24,131308
827,469000.-23,886366
829,332669.-23,646805
831,196338.-23,528122
833,060007.-23,418208
834,923676.-23,182424
836,787344.-22,991584
838,651013.-22,792947
840,514682.-22,535990
842,378351.-22,336309
844,242020.-22,311249
846,105689.-22,243534
847,969358.-22,104925
849,833027.-22,087516
851,696696.-22,062024
853,560365.-21,877256
855,424034.-21,791263
857,287703.-21,794742
859,151371.-21,746308
861,015040.-21,544338
862,878709.-21,277179
864,742378.-21,118629
866,606047.-20,939707
868,469716.-20,682963
870,333385.-20,532613
872,197054.-20,478588
874,060723.-20,566462
875,924392.-20,644865
877,788061.-20,718544
879,651730.-20,813078
881,515399.-20,842431
883,379067.-20,836149
885,242736.-20,723828
887,106405.-20,449218
888,970074.-20,290557
890,833743.-20,171777
892,697412.-20,053111
894,561081.-19,804449
896,424750.-19,558061
898,288419.-19,202489
900,152088.-18,825629
902,015757.-18,621820
903,879426.-18,584049
905,743094.-18,576272
907,606763.-18,718591
909,470432.-18,995329
911,334101.-19,103081
913,197770.-19,022131
915,061439.-19,043811
916,925108.-19,083184
918,788777.-19,099974
920,652446.-19,063808
922,516115.-19,047866
924,379784.-19,053669
926,243453.-19,052238
928,107121.-19,078994
929,970790.-19,137115
931,834459.-19,039298
933,698128.-18,960532
935,561797.-18,906974
937,425466.-18,996422
939,289135.-19,124954
941,152804.-19,259118
943,016473.-19,420548
944,880142.-19,572667
946,743811.-19,917378
948,607480.-20,368794
950,471148.-20,588013
952,334817.-20,777874
954,198486.-20,977927
956,062155.-21,264969
957,925824.-21,602747
959,789493.-21,967094
961,653162.-22,508897
963,516831.-23,072272
965,380500.-23,588180
967,244169.-24,104175
969,107838.-24,499360
970,971507.-24,836309
972,835176.-25,176074
974,698844.-25,394164
976,562513.-25,482978
978,426182.-25,669010
980,289851.-25,890730
982,153520.-26,239043
984,017189.-26,724550
985,880858.-27,153498
987,744527.-27,614066
989,608196.-28,041515
991,471865.-28,313647
993,335534.-28,472188
995,199203.-28,582009
997,062871.-28,729949
998,926540.-29,019626
1000,790209.-29,473375
1002,653878.-29,947620
1004,517547.-30,543106
1006,381216.-31,194783
1008,244885.-31,834355
1010,108554.-32,499143
1011,972223.-33,130203
1013,835892.-33,542077
1015,699561.-33,902693
1017,563230.-34,260189
1019,426898.-34,469144
1021,290567.-34,564900
1023,154236.-34,678881
1025,017905.-34,800074
1026,881574.-35,077694
1028,745243.-35,404871
1030,608912.-35,631863
1032,472581.-36,006394
1034,336250.-36,363901
1036,199919.-36,218721
1038,063588.-36,006171
1039,927257.-35,986195
1041,790926.-36,018851
1043,654594.-36,113535
1045,518263.-36,295181
1047,381932.-36,442533
1049,245601.-36,486608
1051,109270.-36,362366
1052,972939.-36,027520
1054,836608.-35,407943
1056,700277.-34,848584
1058,563946.-34,273922
1060,427615.-33,651880
1062,291284.-33,101810
1064,154953.-32,664066
1066,018621.-32,341763
1067,882290.-31,998181
1069,745959.-31,817486
1071,609628.-31,860754
1073,473297.-31,868046
1075,336966.-31,826529
1077,200635.-31,854803
1079,064304.-31,846444
1080,927973.-31,636366
1082,791642.-31,366736
1084,655311.-31,195059
1086,518980.-31,058293
1088,382648.-30,831981
1090,246317.-30,615856
1092,109986.-30,467904
1093,973655.-30,362866
1095,837324.-30,164453
1097,700993.-29,942481
1099,564662.-29,706423
1101,428331.-29,467626
1103,292000.-29,391744
1105,155669.-29,391896
1107,019338.-29,399076
1108,883007.-29,518724
1110,746675.-29,666855
1112,610344.-29,715069
1114,474013.-29,588415
1116,337682.-29,225413
1118,201351.-28,597954
1120,065020.-27,803720
1121,928689.-26,829674
1123,792358.-25,736409
1125,656027.-24,679771
1127,519696.-23,713123
1129,383365.-22,856163
1131,247034.-22,169567
1133,110703.-21,555974
1134,974371.-21,061599
1136,838040.-20,653526
1138,701709.-20,247690
1140,565378.-19,882343
1142,429047.-19,653542
1144,292716.-19,412102
1146,156385.-19,196482
1148,020054.-19,125026
1149,883723.-19,037080
1151,747392.-18,892240
1153,611061.-18,659110
1155,474730.-18,320627
1157,338398.-17,965739
1159,202067.-17,581377
1161,065736.-17,060260
1162,929405.-16,639069
1164,793074.-16,467524
1166,656743.-16,397909
1168,520412.-16,364372
1170,384081.-16,472671
1172,247750.-16,740007
